virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,81000.0000,1776931382.140498926,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51916,443,76
0.0000,81000.0000,1776931382.187565821,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51924,443,76
1.0002,81001.0002,1776931382.967832690,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51928,443,76
1.0002,81001.0002,1776931382.977688931,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42198,21,76
1.0002,81001.0002,1776931383.031485176,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51936,443,76
1.0002,81001.0002,1776931383.065110001,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51948,443,76
1.0002,81001.0002,1776931383.171969607,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51916,443,76
1.0002,81001.0002,1776931383.203931298,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51924,443,76
2.0011,81002.0011,1776931383.975938379,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51928,443,76
2.0011,81002.0011,1776931383.977785078,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42212,21,76
2.0011,81002.0011,1776931384.003950025,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42198,21,76
2.0011,81002.0011,1776931384.035929640,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51936,443,76
2.0011,81002.0011,1776931384.043022335,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42220,21,76
2.0011,81002.0011,1776931384.067976776,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51948,443,76
3.0011,81003.0011,1776931384.999932612,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42212,21,76
3.0011,81003.0011,1776931385.059978317,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42220,21,76
3.0011,81003.0011,1776931385.187951706,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51916,443,76
3.0011,81003.0011,1776931385.223963191,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51924,443,76
4.0011,81004.0011,1776931385.970354864,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42234,21,76
4.0011,81004.0011,1776931385.991931751,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51928,443,76
4.0011,81004.0011,1776931386.023943746,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42198,21,76
4.0011,81004.0011,1776931386.055942497,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51936,443,76
4.0011,81004.0011,1776931386.083983976,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51948,443,76
5.0011,81005.0011,1776931386.978199808,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42248,21,76
5.0011,81005.0011,1776931386.983924628,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42234,21,76
5.0011,81005.0011,1776931387.011940657,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42212,21,76
