virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,77400.0000,1776798414.620547578,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53416,443,76
1.0010,77401.0010,1776798415.452428209,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53426,443,76
1.0010,77401.0010,1776798415.477647567,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53434,443,76
1.0010,77401.0010,1776798415.634063136,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53416,443,76
2.0012,77402.0012,1776798416.453114538,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53448,443,76
2.0012,77402.0012,1776798416.466099273,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53426,443,76
2.0012,77402.0012,1776798416.498053936,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53434,443,76
2.0012,77402.0012,1776798416.504875541,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51344,21,76
3.0011,77403.0011,1776798417.452240195,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33736,443,76
3.0011,77403.0011,1776798417.462055372,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53448,443,76
3.0011,77403.0011,1776798417.522052311,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51344,21,76
3.0011,77403.0011,1776798417.650047888,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53416,443,76
4.0011,77404.0011,1776798418.458865248,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60150,21,76
4.0011,77404.0011,1776798418.482099218,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33736,443,76
4.0011,77404.0011,1776798418.482101925,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53426,443,76
4.0011,77404.0011,1776798418.514066469,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53434,443,76
5.0011,77405.0011,1776798419.453277328,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60160,21,76
5.0011,77405.0011,1776798419.466630574,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60170,21,76
5.0011,77405.0011,1776798419.474046049,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60150,21,76
5.0011,77405.0011,1776798419.478053048,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53448,443,76
5.0011,77405.0011,1776798419.538082271,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,51344,21,76
6.0011,77406.0011,1776798420.454662299,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60182,21,76
6.0011,77406.0011,1776798420.461212753,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33744,443,76
6.0011,77406.0011,1776798420.470039970,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60160,21,76
6.0011,77406.0011,1776798420.483051670,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60190,21,76
6.0011,77406.0011,1776798420.498062329,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60170,21,76
6.0011,77406.0011,1776798420.498064529,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33736,443,76
7.0011,77407.0011,1776798421.455231971,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60202,21,76
7.0011,77407.0011,1776798421.462037677,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60182,21,76
7.0011,77407.0011,1776798421.481151260,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60216,21,76
7.0011,77407.0011,1776798421.490074026,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60150,21,76
7.0011,77407.0011,1776798421.490075402,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60190,21,76
7.0011,77407.0011,1776798421.494054487,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33744,443,76
7.0011,77407.0011,1776798421.682071515,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53416,443,76
8.0011,77408.0011,1776798422.482065810,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60216,21,76
8.0011,77408.0011,1776798422.483129438,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60220,21,76
8.0011,77408.0011,1776798422.486032769,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60202,21,76
8.0011,77408.0011,1776798422.486033764,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60160,21,76
8.0011,77408.0011,1776798422.514084582,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60170,21,76
8.0011,77408.0011,1776798422.706080771,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53434,443,76
8.0011,77408.0011,1776798422.706082911,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,53426,443,76
9.0012,77409.0012,1776798423.474120731,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60182,21,76
9.0012,77409.0012,1776798423.506038257,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60190,21,76
9.0012,77409.0012,1776798423.506059630,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60220,21,76
9.0012,77409.0012,1776798423.510028076,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33744,443,76
9.0012,77409.0012,1776798423.553688939,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33758,443,76
9.0012,77409.0012,1776798423.559343449,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,60226,21,76
